match_title,poster_available,poster_feature_status,poster_width,poster_height,poster_aspect_ratio,poster_brightness_mean,poster_saturation_mean,poster_red_mean,poster_green_mean,poster_blue_mean,poster_contrast,poster_edge_density
물괴,1,ok,2000,3000,0.6666666666666666,0.2606806755065918,0.2675807476043701,0.2840771973133087,0.24729691445827484,0.26823052763938904,0.18901975452899933,0.02969737390579408
미쓰백,1,ok,1905,2858,0.6665500349895032,0.5013840794563293,0.4675499498844147,0.5924167633056641,0.48059672117233276,0.3696596622467041,0.316089391708374,0.02192688734522658
버닝,1,ok,1170,1755,0.6666666666666666,0.4181200861930847,0.5341163277626038,0.34197232127189636,0.4170907437801361,0.6231411099433899,0.20137529075145721,0.0031834103965251506
7년의 밤,1,ok,1000,1429,0.6997900629811057,0.2201428860425949,0.5680664777755737,0.18983323872089386,0.2263326644897461,0.2677674889564514,0.20972083508968353,0.04807339757967846
변산,1,ok,1909,2864,0.666550279329609,0.6236242651939392,0.35828545689582825,0.710624098777771,0.6055203676223755,0.4886597692966461,0.25468379259109497,0.034766672470276476
동네사람들,1,ok,950,1361,0.698016164584864,0.2578319311141968,0.2793909013271332,0.2666509449481964,0.2516280710697174,0.2666458487510681,0.20702914893627167,0.03160912978031723
원더풀 고스트,1,ok,1900,2850,0.6666666666666666,0.40616467595100403,0.6224890351295471,0.30130502581596375,0.43207022547721863,0.5478003621101379,0.28370147943496704,0.044883120482205954
강철비,1,ok,1000,1500,0.6666666666666666,0.33169180154800415,0.39475521445274353,0.3922591209411621,0.3108362555503845,0.2802231013774872,0.2632533609867096,0.03499716430358632
흥부: 글로 세상을 바꾼 자,1,ok,1000,1429,0.6997900629811057,0.26307910680770874,0.3109021484851837,0.29297399520874023,0.2557455897331238,0.22243185341358185,0.2438024878501892,0.05921267585362087
허스토리,1,ok,1000,1429,0.6997900629811057,0.4528272747993469,0.2840415835380554,0.5096920728683472,0.4350672662258148,0.39513060450553894,0.26451659202575684,0.10239423218683759
번 더 스테이지: 더 무비,1,ok,1500,2250,0.6666666666666666,0.4031727910041809,0.3647545576095581,0.4650445282459259,0.3545099198818207,0.49146607518196106,0.21890871226787567,0.010682823790994998
극한직업,1,ok,1582,2372,0.6669477234401349,0.538795530796051,0.28758978843688965,0.5115745663642883,0.5393224954605103,0.6074777245521545,0.29307085275650024,0.018386749382153494
기생충,1,ok,2000,3000,0.6666666666666666,0.48697274923324585,0.3907466530799866,0.41094523668289185,0.5278746485710144,0.47576916217803955,0.3449946939945221,0.1602445185493956
엑시트,1,ok,1000,1425,0.7017543859649122,0.46192920207977295,0.36742863059043884,0.38222166895866394,0.48731666803359985,0.5402635335922241,0.27022993564605713,0.03287990658718383
백두산,1,ok,1187,1701,0.69782480893592,0.43972525000572205,0.1068970263004303,0.4448460042476654,0.4377838969230652,0.43629100918769836,0.21544282138347626,0.03272010955357316
봉오동 전투,1,ok,1000,1500,0.6666666666666666,0.451170414686203,0.27404507994651794,0.3961859941482544,0.47358012199401855,0.4799935519695282,0.2798084020614624,0.023544620517097582
나쁜 녀석들: 더 무비,1,ok,2000,3000,0.6666666666666666,0.5741590261459351,0.35420292615890503,0.571853518486023,0.5819408893585205,0.5401352643966675,0.2921692430973053,0.019723801583993332
82년생 김지영,1,ok,1365,2048,0.66650390625,0.5869300365447998,0.3214638829231262,0.661948561668396,0.5656512975692749,0.4997374415397644,0.28585168719291687,0.050545965219224546
돈,1,ok,2000,3000,0.6666666666666666,0.33380866050720215,0.4039583206176758,0.3560713827610016,0.3282991051673889,0.3037872314453125,0.25215280055999756,0.023776156731971657
악인전,1,ok,1400,2100,0.6666666666666666,0.2031863033771515,0.42049089074134827,0.18099269270896912,0.20704340934753418,0.24153520166873932,0.20958416163921356,0.08461209903854335
가장 보통의 연애,1,ok,1500,2145,0.6993006993006993,0.6190944910049438,0.22234691679477692,0.6532082557678223,0.5946539044380188,0.6554681658744812,0.2034129500389099,0.009979390035225858
말모이,1,ok,1300,1864,0.6974248927038627,0.2839277982711792,0.2951406240463257,0.3208346962928772,0.27497807145118713,0.2332112044095993,0.21075336635112762,0.07832036266661381
증인,1,ok,1500,2145,0.6993006993006993,0.5387097001075745,0.35205167531967163,0.5999966859817505,0.5228169560432434,0.45979899168014526,0.2687021791934967,0.014107291542761984
시동,1,ok,1978,2835,0.6977072310405644,0.5864974856376648,0.4640737771987915,0.4419538080692291,0.6329071521759033,0.7266385555267334,0.2193974107503891,0.027779891381672826
블랙머니,1,ok,1400,2100,0.6666666666666666,0.576287567615509,0.18170396983623505,0.566723108291626,0.5782042145729065,0.5915041565895081,0.35517749190330505,0.019767889049604356
사바하,1,ok,1400,2000,0.7,0.34801965951919556,0.41053733229637146,0.29455915093421936,0.3668483793735504,0.3912847340106964,0.2913406491279602,0.01849605117392703
타짜: 원 아이드 잭,1,ok,1538,2292,0.6710296684118674,0.24626103043556213,0.5262346267700195,0.28994014859199524,0.22032342851161957,0.2652552127838135,0.27957263588905334,0.06948436654262156
신의 한 수: 귀수편,1,ok,2000,2850,0.7017543859649122,0.2878414988517761,0.4821171164512634,0.3665527105331421,0.25782448053359985,0.2359585016965866,0.26219359040260315,0.04235582682105984
내안의 그놈,1,ok,1400,2100,0.6666666666666666,0.5899995565414429,0.3081623315811157,0.707643449306488,0.5324797034263611,0.5776193737983704,0.24461008608341217,0.018704671147792052
뺑반,1,ok,1300,1950,0.6666666666666666,0.4849822521209717,0.3825984299182892,0.4521520733833313,0.4876594543457031,0.557303786277771,0.33892109990119934,0.05574697784575912
변신,1,ok,900,1290,0.6976744186046512,0.1326342523097992,0.6378467679023743,0.1319178193807602,0.12883274257183075,0.15408769249916077,0.18195752799510956,0.030110224544251468
걸캅스,1,ok,1400,2000,0.7,0.429887592792511,0.5762382745742798,0.4655919671058655,0.42071348428726196,0.38348084688186646,0.23825788497924805,0.09578601293642569
사자,1,ok,1583,2268,0.6979717813051146,0.4361672103404999,0.08201295882463455,0.43781527876853943,0.4352959096431732,0.4363310635089874,0.2347189486026764,0.016153945085978293
나의 특별한 형제,1,ok,1500,2250,0.6666666666666666,0.8189347982406616,0.15220907330513,0.8580288290977478,0.808029055595398,0.7725536227226257,0.25686079263687134,0.042036835278858625
