rank,tmdb_id,title,original_title,original_language,release_date,release_year,popularity,vote_average,vote_count,adult,video,genre_ids,genres,runtime,status,tagline,budget,revenue,homepage,imdb_id,production_companies,production_countries,spoken_languages,cast,directors,keywords,overview,poster_url,backdrop_url,kobis_movie_cd,kobis_movie_nm,kobis_open_dt,kobis_match_status,kobis_boxoffice_date,kobis_rank,kobis_audi_acc,kobis_sales_acc,kobis_daily_audi_cnt,kobis_daily_sales_amt,kobis_scrn_cnt,kobis_show_cnt,page,fetched_at
819,369443,그놈이다,그놈이다,ko,2015-10-28,2015,1.2001,5.7,38,False,False,53|80,스릴러|범죄,109,Released,"하루 24시간, 365일,  매일매일 내가 당신 지켜 볼거야",0,0,http://gnom2015.kr,tt5052298,Sang Sang Film|CGV Arthouse,KR,Korean,주원(Jang-woo)|유해진(Pharmacist Min)|이유영(Si-eun)|류혜영(Eun-ji)|민성욱(Yong-han)|서현우(Doo-soo)|이준혁(Myeong-goo)|장인섭(Rookie Detective)|손지나(Cha-seon)|최유송(Shaman),Yun Jun-hyung,,"세상에 단 둘뿐인 가족 장우와 은지. 부둣가 마을의 재개발로 장우는 은지를 위해 서울로 이사를 결심하지만, 은지가 홀연히 사라지고 3일 만에 시체가 되어 돌아온다. 목격자도 단서도 증거도 없이 홀로 범인 찾기에 혈안이 된 장우는 동생의 영혼을 위로하는 천도재에서 넋건지기굿(저승 가는 길 배불리 먹고 가라고 붉은 천에 밥이 한가득 담긴 놋그릇을 바다를 향해 던지는 의식)의 그릇이 흘러 간 곳에 우연히 서 있는 한 남자를 발견한다. 장우를 피해 달아나는 그를 죽은 동생이 범인으로 지목한 거라 생각한 장우는 그놈의 흔적을 찾기 시작한다.  타인의 죽음을 볼 수 있는 예지력으로 마을에서 외톨이처럼 지내는 시은은 자신에게 가장 먼저 말을 걸어준 유일한 친구 은지의 죽음을 보지만 외면하고, 그 죄책감에 장우에게 다가선다. 또 다른 죽음을 예견한 시은. 장우는 시은이 예견한 장소에 나타난 그놈의 흔적을 쫓아가다 평소 사람 좋기로 소문난 동네 약국의 약사에게 이른다. 그를 범인으로 믿는 장우. 경찰은 장우의 얘기를 무시하고 장우의 먼 친척 형을 용의자로 검거한다. 그 누구도 자신의 말을 믿어주지 않자 장우는 무작정 약사를 쫓기 시작하는데…",https://image.tmdb.org/t/p/original/wtjulNuSQ7UyoDtF1T3ZpA9jt13.jpg,https://image.tmdb.org/t/p/original/eDC81zgFf5akn2sB2MoWwSlZ07I.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
820,928713,소설가의 영화,소설가의 영화,ko,2022-04-21,2022,1.1931,6.542,48,False,False,18,드라마,92,Released,,71560,382227,,tt17146978,Jeonwonsa Film,KR,Korean,이혜영(Junhee)|김민희(Gilsu)|서영화(Sewon)|박미소(Hyunwoo)|권해효(Hyojin)|조윤희(Yangjoo)|하성국(Gyeongwoo)|기주봉(Mansoo)|이은미(Jaewon)|김시하(Child),홍상수,novelist,"여소설가가 잠적한 후배의 책방으로 먼 길을 찾아옵니다. 그리고 혼자 타워를 오르고 영화감독 부부를 만나고 공원을 산책하다 여배우를 만나게 되고, 여배우에게 당신과 영화를 만들고 싶다 설득을 합니다. 둘이 분식집에서 뭘 먹고, 다시 찾게 되는 후배의 책방에서 술자리가 깊어지고 여배우는 취해 잠이 드는데…",https://image.tmdb.org/t/p/original/cJ1vMFV8TizNsRUQIsS7GrIVH2j.jpg,https://image.tmdb.org/t/p/original/pAxhLwCuA5HuuMtnHu9SebB26M2.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
821,602301,조제,조제,ko,2020-12-10,2020,1.5664,7.219,64,False,False,10749|18,로맨스|드라마,116,Released,우리가 가장 아름다웠던 시간,0,1709980,,tt13411298,Warner Bros. Korea|Vol Media|Asmik Ace,JP|KR,Korean,한지민(Josée)|남주혁(Young-seok)|허진(Da-bok)|박예진(Hye-sun)|조복래(Chul-ho)|이소희(Su-kyung)|이성욱(Choi Kyung)|김금순(Hyun-nam)|Jang Se-won(Sang-jun)|윤혜리(Hee-young),김종관,based on novel or book|romance|love|remake|disability,"어느 날 대학생 영석은 길에 쓰러진 한 여자를 돕는다. 고장난 휠체어와 여자를 리어카에 태워 집까지 데려다준 영석에게 여자는 밥을 먹고 가라 권하고, 영석은 얼떨결에 밥을 얻어먹게 된다. 여자의 이름은 조제. 폐지 줍는 할머니와 함께 지내는 조제는 헌책에 파묻힌 채 자신만의 세계에 살고 있다. 그런 조제에게 특별한 감정을 느낀 영석은 종종 조제를 찾아와 밥을 먹고 대화를 나누며 둘만의 시간을 보낸다. 조제 또한 영석에게 조금씩 마음의 문을 열어간다. 설레는 시간도 잠시, 낯선 감정에 마음이 저릿해진 조제가 뒷걸음질을 치고, 조제의 닫힌 문 앞에서 영석 또한 발걸음을 돌린다. 그렇게 시간이 흘러 겨울이 되고 영석은 다시 조제의 집에 찾아가는데...",https://image.tmdb.org/t/p/original/vZrFO6NvjOAGofKNn4S5bAC2eR5.jpg,https://image.tmdb.org/t/p/original/tXUmghBMpKE2NvpNtMCYzofIazQ.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
822,38054,오로라 공주,오로라 공주,ko,2005-10-27,2005,1.4754,6.01,52,False,False,80|18|9648,범죄|드라마|미스터리,106,Released,오로라 공주 스티커에 숨겨진 한 인간의 분노,0,0,,tt0488174,Cinema Service|East Film|CJ Entertainment,KR,Korean,엄정화(Jung Sun-jung)|문성근(Oh Sung-ho)|권오중(Detective Jung)|현영(Choi Sin-ok)|김용건(Na Jae-geun)|박효준(Jang Myung-gil)|장현성(Kim Woo-taek)|이대연(chief detective)|박광정(Coroner)|정만식(Detective Choi),방은진,,"잔혹하게 슬픈 연쇄살인극  연이은 살인사건, 시신 곁에 어김없이 붙어있는 오로라 공주 스티커, 사건을 담당한 오형사는 현장 CCTV를 통해 “날 찾아봐…”라는 메시지를 남기는 정순정이 범인임을 직감하지만 피해자들의 공통점은 어디서도 발견되지 않는다. 수사팀을 혼란에 빠뜨리며 각기 다른 수법으로 잔혹한 살인을 집행하는 순정, 돌연 살인장소를 공개하며 도심 외곽 쓰레기매립장으로 군, 경찰과 언론, 전국민의 시선을 집중시키는데…",https://image.tmdb.org/t/p/original/xnPRHG6KJCjOn4TV6GFkeIC8w99.jpg,https://image.tmdb.org/t/p/original/54H4ZcKqK2rOuq8RyHt69vps866.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
823,75821,7광구,7광구,ko,2011-08-04,2011,1.3816,4.866,82,False,False,27|878|28,공포|SF|액션,101,Released,,8700000,0,,tt1934381,CJ Entertainment|JK Film,KR,Mandarin|Korean,하지원(Cha Hae-joon)|오지호(Kim Dong-soo)|안성기(Lee Jeong-man)|박철민(Do Sang-goo)|송새벽(Go Jong-yoon)|이한위(Jang Moon-hyeong)|차예련(Park Hyeon-jeong)|박정학(Hwang In-hyuk)|박영수(Jang Chi-soon)|오민석(Yoon Hyun-woo),김지훈,ocean|water monster|cryptozoology|infestation|improved fuel|oil exploration|ocean rig,"제주도 남단, 7광구의 망망대해에 떠있는 석유 시추선 이클립스 호. 산유국 꿈에 부푼 대원들의 예상과는 달리 시추 작업은 번번히 실패로 끝나고, 결국 본부로부터 철수 명령을 받는다. 철수를 위해 본부에서 베테랑 캡틴 정만이 투입되고, 오랜 시간 공들인 7광구에 석유가 있다고 확신하는 해저 장비 매니저 해준은 본부의 일방적인 명령에 강하게 반발한다. 철수까지 주어진 시간은 한달. 해준과 대원들이 마지막 시추작업에 총력을 가하던 어느 날, 갑자기 본부와 통신이 끊기고, 이클립스 호에는 이상 기류가 흐르는데...",https://image.tmdb.org/t/p/original/9Xq6vOiNqURWhZXfRRlIUL8Qjdo.jpg,https://image.tmdb.org/t/p/original/xQo44JM52MfEX7tvajmzKvWhloL.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
824,347697,성실한 나라의 앨리스,성실한 나라의 앨리스,ko,2015-08-13,2015,1.1109,6.8,29,False,False,18|35|53,드라마|코미디|스릴러,90,Released,"미안해요, 그러니까 내가 죽이는 거 이해해주세요. 전 그저 행복해지고 싶을 뿐이에요.",0,0,,tt4702528,CGV Arthouse|Korean Academy of Film Arts|Korean Film Council,KR,Korean,이정현(Soo-nam)|이해영(Gyu-jung)|서영화(Kyung-sook)|동방우(Do-chul)|이준혁(Hyeong-seok)|배제기(Detective Jo)|이대연(Subsection Chief)|박은영(Hee-jeong)|지대한(Detective Park)|정영기(Young Doctor),안국진,debt|loan|new town|revenge killing|poor woman|find a job,"제가 이래봬도 스펙이 좋거든요. 제 자랑은 아니지만 자격증이 한 14개? 어렸을 때부터 손으로 하는건 뭐든지 잘했어요~ 근데 결국 컴퓨터에 일자리를 뺏겼죠. 그래도 다행이 취직도 하고, 사랑하는 남편까지 만났어요. 그래서 둘이 함께 살 집을 사기로 결심했죠. 잠도 줄여가며 투잡 쓰리잡 열심히 일했어요. 근데 아무리 꾸준히 일해도 빚은 더 쌓이더라고요. 그러다 빚을 한방에 청산할 기회가 찾아왔는데! 왜 행복을 방해하는 사람들이 자꾸 생기는 걸까요? 이제 제 손재주를 다르게 써보려고요. 더 이상 당하고만 있지 않을 거예요! 5포세대에 고함! 열심히 살아도 행복해 질 수 없는 세상, 그녀의 통쾌한 복수가 시작된다!",https://image.tmdb.org/t/p/original/iIaMKw9EBdpyZRBc1NcUvsaKywb.jpg,https://image.tmdb.org/t/p/original/6bDXszEZMzSiuMBZgRaXjLZ3Een.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
825,373947,베사메무쵸,베사메무쵸,ko,2001-08-31,2001,1.2738,4.625,8,False,False,18,드라마,100,Released,,0,0,,tt0294353,Kang Je-gyu Films,KR,Korean,전광렬(Cheol-su)|이미숙(Young-hee)|조원희(Joon-hyeok)|백성현(Ji-oh)|맹봉학(Jeong-woo's father)|Song Yong-tae|장현성|이황의|최일화(Kang Jin-seok)|류태호(Friend 1),전윤수,,오늘은 수요일... 결혼 10년차인 철수와 영희만의 은밀한 약속이 있는 날이다. 지난 수요일도 다음주 수요일도.. 그다지 자랑할 것도 내세울 것도 없는 두 사람이지만 서로에 대한 믿음이나 사랑만으로도 행복해 할 줄 알며 만족해 한다. 그러던 어느날... 철수가 느닷없이 직장을 잃게 되면서 내 집 마련이라는 소박한 꿈을 키우던 영희의 희망이 채무상환이라는 엄청난 시련으로 바뀌게 되는 절대 절명의 위기를 맞게 된다. 네 아이의 엄마로.. 짠순이 아내로 오로지 해가 보이는 작은 집을 가져보는 것이 소원이었던... 영희는 한줄기 희망조차도 없는 처지에 이르자 가정을 지키기 위한 사투를 시작하고 철수 또한 처절한 행복을 지키기에 돌입한다. 그런 날이 지나고.. 영희는 학창시절 자신을 무척이나 흠모했던 성공한 기업인 한지훈을 우연히 만나게 되고 며칠 후 상상도 할 수 없는 엄청난 제안을 그로부터 받게된다. 한편 거물 재력가인 매혹적인 여자 서린의 자금 관리인이 된 철수에게도 거절할 수 없는 유혹이 뻗쳐온다. 여느때처럼 다가온 수요일... 잠자리에 든 철수와 영희는 서로가 모르는 각자의 혼돈에 빠지게 된다. 우리의 사랑을 지키기 위해 너와의 사랑을 잠시 배반할 것인가... 과연 그것이 배반일까... 정말 그래도 될까... 다음날 영희와 철수의 결심을 모른 채 집을 나서게 되는데...,https://image.tmdb.org/t/p/original/uyzOdqnTj8wFJapDp19kplaQbsj.jpg,https://image.tmdb.org/t/p/original/yUt6DdewAuUqUv2QSOctfSLUttg.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
826,104176,그놈 목소리,그놈 목소리,ko,2007-02-01,2007,1.3144,6.7,81,False,False,53|18|80|9648,스릴러|드라마|범죄|미스터리,122,Released,살 수도 죽을 수도 없었습니다 그놈을 잡기 전에는...,0,0,,tt0969268,Zip Cinema|CJ Entertainment,KR,Korean,설경구(Han Kyung-bae)|김남주(Oh Ji-sun)|강동원(Kidnapper)|송영창(Captain No)|고수희(Cha Su-hee)|김영철(Kim Wook-jung)|김광규(Chief Detective)|윤제문(Priest)|나문희(Kyung-bae's Mother)|전혜진(Lee Ae-sook),박진표,kidnapping|child kidnapping,"범죄와의 전쟁이 선포될 정도로 흉흉한 강력범죄가 끊이지 않던 1990년대. 방송국 뉴스앵커 한경배의 9살 아들 상우가 어느 날 흔적 없이 사라지고, 1억 원을 요구하는 유괴범의 피말리는 협박전화가 시작된다. 아내 오지선의 신고로 부부에겐 전담형사가 붙고, 비밀수사본부가 차려져 과학수사까지 동원되지만, 지능적인 범인은 조롱하듯 수사망을 빠져나가며 집요한 협박전화로 한경배 부부에게 새로운 접선방법을 지시한다. 치밀한 수법으로 정체가 드러나지 않는 유괴범의 유일한 단서는 협박전화 목소리. 교양 있는 말투, 그러나 감정이라곤 없는 듯 소름끼치게 냉정한 그놈 목소리뿐이다. 사건발생 40여 일이 지나도록 상우의 생사조차 모른 채 협박전화에만 매달려 일희일비하는 부모들. 절박한 심정은 점차 분노로 바뀌고, 마침내 한경배는 스스로 그놈에게 접선방법을 지시하며 아들을 되찾기 위한 정면대결을 선언하는데...",https://image.tmdb.org/t/p/original/pKK4zXvInTEPrZVqX8QbefkJpq7.jpg,https://image.tmdb.org/t/p/original/zf2bEdkV2i9kJEUKiFs7K2qWksR.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
827,376847,나를 잊지 말아요,나를 잊지 말아요,ko,2016-01-07,2016,1.2026,8.1,35,False,False,10749|18|9648,로맨스|드라마|미스터리,106,Released,처음 본 여자가 나를 보고 울었다,0,0,http://rememberyou.modoo.at,tt5576174,CJ Entertainment|Artist Company,KR,Korean,정우성(Seok-won)|김하늘(Jin-young)|온주완(Dong-gun)|임주은(Bo-young)|장영남(Kim Young-hee)|권해효(Park Kyoung-joon)|배성우(Oh Kwon-ho)|허진(Seok-won's Mother)|차청화(Wedding Hall Staff)|이준혁(Shin Hyun-ho),Lee Yoon-jeong,memory loss|memory,"교통사고 후, 지난 10년의 기억이 지워진 남자 석원. 친구, 가족, 심지어 본인이 어떤 사람인지조차 흐릿해진 석원은 병원에서 우연히 자신을 보며 눈물을 흘리는 낯선 여자 진영을 만난다. 그녀에 대해 잘 알진 못하지만 진영과 함께하며 새로운 행복을 느끼는 석원. 스마트폰에 놀라고, 김연아, 류현진도 모르는 남자와 사랑에 빠진 진영. 10년 전 과거에 머물러 있는 그와의 시간이 소중하고 행복하다. 하지만 시간이 멈춘 것 같은 행복함도 잠시, 석원에게 조금씩 과거의 기억이 되살아나고 지금의 행복이 깨어질까 두려운 진영은 흔들리기 시작하는데…",https://image.tmdb.org/t/p/original/eZ64cwd3SCFgqdx4Ke6R21RDBYv.jpg,https://image.tmdb.org/t/p/original/g0axhYRsFuQL1rGPYhPjyShln52.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
828,33548,와니와 준하,와니와 준하,ko,2001-11-23,2001,1.1179,7.1,19,False,False,10749|18,로맨스|드라마,114,Released,달콤아릿한 동거 이야기,0,0,,tt0300633,CJ Entertainment|Barunson E&A|Generation Blue Films,KR,Korean,김희선(Wa-nee)|주진모(Jun-ah)|최강희(So-yeong)|조승우(Yeong-min)|박호산(Seong-jae)|김홍파(President of the Film Company)|이정은(Producer)|Hyun Sook-hee(Aunt)|이은정(Shop Owner)|정경호(Driver That Caused an Accident),김용균,,"경력 6년차 동화부 애니메이터 와니는 시나리오 작가인 준하와 애인 사이로 지금 춘천에 있는 와니의 집에서 함께 살고 있다. 둘이 사귄지 1년쯤 된 어느날, 와니는 유학가 있던 이복동생 영민이 귀국한다는 연락을 받게 된다. 영민은 와니의 첫사랑으로 둘은 마음을 정리하지 못한 채 헤어졌었다. 영민의 연락이 온지 얼마 후, 영민을 짝사랑했던 후배 소양이 와니의 집을 방문하면서 와니의 마음은 다시 과거로 빠져든다. 준하가 와니의 마음에 이는 파문을 눈치채면서 둘 사이엔 미묘한 변화가 일게 되는데...",https://image.tmdb.org/t/p/original/dki8hrws22dGVylBsvbFlTxnmxR.jpg,https://image.tmdb.org/t/p/original/xhorxpNOCkpGOejyqU4ZFyrLNAr.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
829,952476,악마들,악마들,ko,2023-07-05,2023,1.2669,5.953,32,False,False,53|80|14,스릴러|범죄|판타지,105,Released,살인마의 몸으로 살인마를 잡는다,0,0,,tt27801630,Contents G|The Contents On,KR,Korean,장동윤(Jin-hyuk)|오대환(Jae-hwan)|장재호(Min-sung)|최귀화(Team leader)|손종학(Old man)|신승환(Man-seok)|윤병희(Yohan)|김원해(Gi-nam)|최돈학(Police)|김진만(Detective 3),Kim Jae-hoon,body-swap,"아무런 동기도, 흔적도 없이 이어지는 연쇄 살인. 살인마의 손에 소중한 동료이자 가족을 잃은 형사 재환은 증오에 휩싸여 그의 뒤를 쫓는데 몰두한다. 어느 날, 살인마 진혁과 추격전 끝에 병실에서 눈을 뜬 재환. 알 수 없는 이유로 진혁과 몸이 뒤바뀐 것을 확인하고, 진혁은 가족을 인질 삼아 재환을 협박한다. 결국 살인마의 몸으로 살인마를 잡기 위해 다시 한번 목숨 건 추격을 시작하는 재환. “아니, 진짜 게임은 지금부터야.”",https://image.tmdb.org/t/p/original/kOrXI09Ng7QMxB41TqTogSodn2b.jpg,https://image.tmdb.org/t/p/original/voL01tDBiZj05lBprSVyAsx0VJB.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
830,40211,백만장자의 첫사랑,백만장자의 첫사랑,ko,2006-02-09,2006,1.6318,7.3,86,False,False,18|10749,드라마|로맨스,116,Released,넌 내가 꿈꾸는 사랑이야,0,0,,tt0757157,SCS Entertainment,KR,Korean,이연희(Choi Eun-hwan)|현빈(Kang Jae-kyung)|임주환(Seung-Joon)|정욱(Principal)|이한솔(Myung-sik)|이영후(Chairman Kang)|이칸희(Eun-hwan's Mother)|도용구(Myung-sik's Father)|Park Yoo-Sun(Child in Public Performance)|김병세(Lawyer),김태균,chaebol,"모처럼 학교에 갔다. 왜? 학교와 굿바이 하러! 학교 다니는 것도 지겹고, 경찰서 다니는 것도 귀찮다. 할아버지 유산 받는 날, 가볍게 박차고 나올 생각이었으니 하루 덜 채운들 무슨 상관! 진정한 백만장자가 되는 주민등록증을 받아들 내일이 기다려진다. 내일은 내 생애 최고의 날이다. 음화화홧!  오늘이면 수 천억이 내 껄 줄 알았다. 이런.... 그 밉살맞은 변호사가 언젠가는 내 발등에 도끼를 찍을 줄 알았다. 젠장. 그 산골엔 왜 가라는 거야? 그 학교는 왜 꼭 졸업해야 하는데? 할아버지! 왜 절 이렇게 골탕 먹이시는 겁니까!!! 도대체 왜!!!!!  이 놈의 구질구질한 산골. 그리고 이 자식들은 순진한 건지, 단순한 건지 도대체 정체들을 알 수가 없다. 교장에게 돈을 주고 퇴학만 시켜달래도 도무지 말이 씨도 안 먹힌다. 전학 첫 날부터 반장이라 잘난 체 하는 은환이란 계집애는 사사건건 태클을 건다. 그런데 이상하다. 언제부턴가 어이없게도 그 뻣뻣하고 멋대가리 없는 계집애만 보면 가슴이 두근거린다. 내가 왜 이러는 거지? 지금 당장 이 산골학교를 벗어나야 하는데... 유산에만 신경 써야 하는데...",https://image.tmdb.org/t/p/original/wF7AFnIMhKa4RPqcEvFmT2dMdot.jpg,https://image.tmdb.org/t/p/original/hHnHNghDcAyXswW71W3mOEeYUjd.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
831,33199,후회하지 않아,후회하지 않아,ko,2006-11-16,2006,1.3598,5.8,36,False,False,18|10749,드라마|로맨스,113,Released,,0,0,,tt0996948,Generation Blue Films|DCG Plus|Fortissimo Films|CJ Entertainment,NL|KR,Korean,김남길(Song Jae-min)|이영훈(Lee Su-min)|김동욱(Ga-ram)|정승길(Madame)|Hwang Choon-ha(Jae-chul)|박미현(Restaurant Manager)|박기웅(Gay Employee)|이승철(Jae-min's Father)|Kim Hwa-yeong(Jae-min's Mother),이송희일,attempted murder|male prostitution|gay theme|boys' love (bl),시골 고아원에서 대학 진학의 꿈을 갖고 서울로 올라온 수민은 낮에는 공장에서 일하고 밤에는 대리운전을 하며 살아간다. 어느 날 삶에 지쳐있던 부잣집 아들 재민의 차를 운전하게 되면서 두 사람은 서로 연정을 품는다. 얼마 후 그들은 기업 부사장의 아들과 부당 해고당한 노동자로 재회한다. 재민의 호의로 해고조치가 철회되지만 수민은 공장을 나와 게이 호스트바에 취직한다. 결혼을 앞둔 재민은 수민을 잊을 수 없어 수민의 게이바를 찾아온다.,https://image.tmdb.org/t/p/original/gtXgwV6mprhHCAnX5Efq9vKE2tT.jpg,https://image.tmdb.org/t/p/original/kDl2Mz4wB0IlvxxJY4ntUKScSXD.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
832,518682,레슬러,레슬러,ko,2018-05-09,2018,1.4277,6.667,15,False,False,35|10749,코미디|로맨스,110,Released,전직 레슬러에서 프로 살림러가 된 지 20년  평화롭던 귀보씨의 일상이 유쾌하게 뒤집힌다!,0,0,,tt7299346,Annapurna Films|Lotte Entertainment|DCG Plus,KR,Korean,유해진(Gui-bo)|김민재(Sung-woong)|이성경(Ga-young)|성동일(Sung-soo)|진경(Mi-ra)|나문희(Gui-bo's Mother)|황우슬혜(Do-na)|박규영(So-young)|Lee Han-seo(Ji-young)|김태훈(Seung-hyuk),Kim Dae-woong,,"과거 레슬링 국가대표였지만  특기는 살림, 취미는 아들 자랑, 남은 것은 주부 습진뿐인 프로 살림러 ‘귀보’(유해진). 그의 유일한 꿈은 촉망받는 레슬러 아들 ‘성웅’(김민재)이 금메달리스트가 되는 것이다. 오늘도 자신은 찬밥을 먹으며 아들에게는 따뜻한 아침밥을 챙겨주고  레슬링 체육관에서 아줌마들에게 신나게 에어로빅을 가르치던 ‘귀보’는  국가대표 선발전을 앞두고 훈련에 나가지 않겠다는 ‘성웅’의 청천벽력 같은 이야길 듣게 된다. 갑작스런 아들의 반항에 당황한 귀보. 설상가상으로 ‘엄마’(나문희)의 잔소리는 더욱 거세지고,  윗집 이웃이자 성웅의 소꿉친구 ‘가영’(이성경)은 귀보에게 엉뚱한 고백을 쏟아낸다. 거기에 소개팅으로 만난 의사 ‘도나’(황우슬혜)의 막무가내 대시까지. 평화롭던 일상이 순식간에 뒤집힌 귀보씨는 혼란에 빠지기 시작하는데...",https://image.tmdb.org/t/p/original/rMKJxoQ2HyrKNxTq7qy4R7fqEXQ.jpg,https://image.tmdb.org/t/p/original/iTrqLjcQtwtROxlRs2xPWRwDx8L.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
833,1084390,소주전쟁,소주전쟁,ko,2025-05-30,2025,1.4769,6.5,8,False,False,18,드라마,104,Released,1997년 대한민국 국민소주가 무너졌다!,0,0,,tt4462226,The LAMP|Film Blossom,KR,English|Korean,유해진(Pyo Jong-rok)|이제훈(Choi In-beom)|손현주(Seok Jin-woo)|최영준(Goo Young-mo)|바이런 맨(Gordon)|김기해(Baek Sung-bin)|윤지혜(Jeon Mi-ra)|스테파니 미초바(Julia)|이서환(Heo Jun-seok)|박지일(Go Jung-cheon),,1990s,"1997년 IMF 외환위기, 독보적인 맛으로 전국을 평정했던 국보소주가 자금난에 휘청거린다. 이 타이밍을 눈여겨보던 글로벌 투자사 솔퀸의 직원 인범은 국보소주 매각을 위해 회사에 접근하고, 국보소주가 곧 자신의 인생인 국보그룹의 재무이사 종록은 회사를 살려보겠다는 일념으로 스마트한 인범에게 오롯이 의지한다. 한평생 몸바친 회사를 지키려는 종록과, 회사를 삼키려는 목표를 숨기고 종록에게 접근한 인범. 서로 다른 목적의 두 사람은 소주 하나로 점차 가까워지는데...",https://image.tmdb.org/t/p/original/eUiliFwnCR4OkKJuQiXhK5uF6zJ.jpg,https://image.tmdb.org/t/p/original/4wy0J3W2jh47abtSJSqBqiX4Aot.jpg,,,,pending,,,,,,,,,62,2026-05-28T10:29:05.701917+00:00
834,67415,지리멸렬,지리멸렬,ko,2025-08-27,2025,1.7753,6.25,4,False,False,35|18,코미디|드라마,31,Released,,0,0,,tt1997399,Korean Academy of Film Arts,KR,Korean,유연수(Professor Kim)|윤일주(Newspaper Editor)|김뢰하(Prosecutor)|임상효(Miss Kim)|신동환(Paperboy)|김선화(Violent Woman)|Kim Jin-sung(Junior Prosecutor)|박광진(Apartment Security Guard)|Lee Sang-yeob(TV Debate Moderator)|봉준호(Paperboy's Brother),봉준호,anthology|short film,"'바퀴벌레'와 '골목 밖으로' '고통의 밤' '에필로그'라는 4의 에피소드로 이루어진 단편. 아침운동을 하면서 남의 문앞에 놓여있는 우유를 습관적으로 훔쳐먹는 신문사 논설위원, 만취해 길가에서 용변을 누려다가 경비원에게 들키게 되는 엘리트 검사, 그리고 도색잡지를 즐겨보다 여학생에게 들킬 뻔한 위기를 겪는 교수, 이들 세사람이 TV 프로그램에 출연하여 사회문제에 관한 대담을 나눈다.",https://image.tmdb.org/t/p/original/bMzzaJegc6JbBDJulQUhUNxSd6K.jpg,https://image.tmdb.org/t/p/original/vmHMnZ1RQNBP0wvkF453qYMIjNb.jpg,,,,pending,,,,,,,,,63,2026-05-28T10:29:05.701917+00:00
835,55767,우리 동네,우리 동네,ko,2007-11-29,2007,1.1845,5.6,23,False,False,80|18|9648,범죄|드라마|미스터리,114,Released,,0,0,,tt1201168,IM Pictures|Object Films|CJ Entertainment|Cinema Service,KR,Korean,오만석(Kyung-ju)|이선균(Jae-sin)|류덕환(Hyo-yi)|박명신(Yeo Sa-jang)|전혜원(Kim So-yeon)|문가영(Young Kim So-yeon)|이무생(Jeong Myeong-bo)|정인기(Captain #2)|전국환(Principal of the Middle School)|김영선(Supermarket Owner's Wife),정길영,,"평온한 동네에 동일한 방식의 연쇄 살인사건이 연이어 발생한다. 피살자는 모두 여성이며 발견당시 양 손이 노끈에 묶인 채 십자가 모양으로 매달려 있었다. 한편, 추리소설가 지망생 ‘경주’는 월세금을 독촉하던 집주인과 말다툼 끝에 우발적으로 살인을 저지르게 되고, 이를 은폐하기 위해 연쇄살인범을 모방하여 시체를 처리한다.  사건수사가 난항을 겪고 있는 가운데 또 다시 살인사건이 발생하자 시민들은 모두 불안과 공포를 느끼고, 경찰 관계자는 이번 사건 역시 동일범의 소행으로 단정짓는다. 하지만 오직 강력계 반장 ‘재신’만이 마지막 사건은 모방범의 소행임을 직감한다. 그리고 자신의 살해수법을 모방하는 자가 있다는 사실을 알게 된 연쇄살인범 ‘효이’는 그를 추적하기 시작하는데…",https://image.tmdb.org/t/p/original/rJGUi1TPjXPY1PpVZUyXmyBALvr.jpg,https://image.tmdb.org/t/p/original/kc9DWxY6meVIdOyGswOWW9mAg0d.jpg,,,,pending,,,,,,,,,63,2026-05-28T10:29:05.701917+00:00
